rt,trial_type,trial_index,subject,group,stimType,stimNum,type,power_norm,distance_norm,imposition_norm,entitlement_norm,Gender,Native_Speaker,Age
4768,survey-multi-choice,3,11403,group1,high_entitlement,7,urgency,5,6,6,7,Male,Yes,26
4825,survey-multi-choice,4,11403,group1,low_entitlement,2,interaction,6,5,6,7,Male,Yes,26
6183,survey-multi-choice,5,11403,group1,high_entitlement,9,urgency,7,6,6,7,Male,Yes,26
8121,survey-multi-choice,6,11403,group1,high_entitlement,1,interaction,6,6,5,6,Male,Yes,26
4744,survey-multi-choice,7,11403,group1,low_entitlement,8,urgency,7,6,6,7,Male,Yes,26
4745,survey-multi-choice,8,11403,group1,low_entitlement,4,relationship,6,6,6,6,Male,Yes,26
4784,survey-multi-choice,9,11403,group1,high_entitlement,3,relationship,6,6,6,7,Male,Yes,26
5639,survey-multi-choice,10,11403,group1,low_entitlement,10,institution,6,6,7,6,Male,Yes,26
4016,survey-multi-choice,11,11403,group1,low_entitlement,6,institution,6,6,7,6,Male,Yes,26
124703,survey-multi-choice,2,12881,group1,high_entitlement,5,institution,6,1,7,1,Male,Yes,28
18701,survey-multi-choice,3,12881,group1,low_entitlement,10,institution,5,1,2,6,Male,Yes,28
41190,survey-multi-choice,4,12881,group1,high_entitlement,9,urgency,2,6,4,5,Male,Yes,28
13554,survey-multi-choice,5,12881,group1,low_entitlement,8,urgency,2,6,3,3,Male,Yes,28
28126,survey-multi-choice,6,12881,group1,low_entitlement,6,institution,4,2,2,6,Male,Yes,28
31439,survey-multi-choice,7,12881,group1,high_entitlement,3,relationship,7,4,3,6,Male,Yes,28
62371,survey-multi-choice,8,12881,group1,high_entitlement,1,interaction,4,5,5,2,Male,Yes,28
27700,survey-multi-choice,9,12881,group1,low_entitlement,4,relationship,2,3,6,3,Male,Yes,28
47825,survey-multi-choice,10,12881,group1,low_entitlement,2,interaction,3,6,6,3,Male,Yes,28
11453,survey-multi-choice,11,12881,group1,high_entitlement,7,urgency,2,4,5,2,Male,Yes,28
20151,survey-multi-choice,2,14689,group1,low_entitlement,10,institution,4,1,2,6,Male,Yes,34
55805,survey-multi-choice,3,14689,group1,high_entitlement,1,interaction,4,4,2,7,Male,Yes,34
28154,survey-multi-choice,4,14689,group1,low_entitlement,4,relationship,6,3,NA,2,Male,Yes,34
14559,survey-multi-choice,5,14689,group1,high_entitlement,9,urgency,6,7,3,7,Male,Yes,34
12996,survey-multi-choice,6,14689,group1,low_entitlement,8,urgency,7,4,4,4,Male,Yes,34
14588,survey-multi-choice,7,14689,group1,low_entitlement,2,interaction,6,4,6,2,Male,Yes,34
15563,survey-multi-choice,8,14689,group1,high_entitlement,7,urgency,6,6,5,3,Male,Yes,34
80143,survey-multi-choice,9,14689,group1,high_entitlement,3,relationship,2,3,2,6,Male,Yes,34
58639,survey-multi-choice,10,14689,group1,high_entitlement,5,institution,7,1,5,7,Male,Yes,34
14317,survey-multi-choice,11,14689,group1,low_entitlement,6,institution,5,1,1,6,Male,Yes,34
72791,survey-multi-choice,2,16250,group2,low_entitlement,1,interaction,5,4,5,3,Female,Yes,64
77895,survey-multi-choice,3,16250,group2,high_entitlement,4,relationship,4,7,2,7,Female,Yes,64
34796,survey-multi-choice,4,16250,group2,low_entitlement,5,institution,7,1,7,1,Female,Yes,64
28094,survey-multi-choice,5,16250,group2,low_entitlement,7,urgency,7,5,5,4,Female,Yes,64
26577,survey-multi-choice,6,16250,group2,low_entitlement,9,urgency,5,6,2,6,Female,Yes,64
30169,survey-multi-choice,7,16250,group2,high_entitlement,2,interaction,7,5,6,6,Female,Yes,64
43511,survey-multi-choice,8,16250,group2,low_entitlement,3,relationship,7,2,6,4,Female,Yes,64
31216,survey-multi-choice,9,16250,group2,high_entitlement,10,institution,7,1,2,7,Female,Yes,64
30164,survey-multi-choice,10,16250,group2,high_entitlement,8,urgency,7,5,2,7,Female,Yes,64
25513,survey-multi-choice,11,16250,group2,high_entitlement,6,institution,7,1,1,7,Female,Yes,64
47668,survey-multi-choice,2,18500,group1,low_entitlement,10,institution,7,1,1,1,Female,Yes,26
55555,survey-multi-choice,3,18500,group1,high_entitlement,9,urgency,7,7,2,1,Female,Yes,26
61970,survey-multi-choice,4,18500,group1,high_entitlement,5,institution,7,1,1,7,Female,Yes,26
79884,survey-multi-choice,5,18500,group1,high_entitlement,3,relationship,7,1,3,3,Female,Yes,26
65932,survey-multi-choice,6,18500,group1,low_entitlement,4,relationship,7,1,7,1,Female,Yes,26
69980,survey-multi-choice,7,18500,group1,high_entitlement,1,interaction,7,3,3,1,Female,Yes,26
30035,survey-multi-choice,8,18500,group1,low_entitlement,6,institution,NA,1,1,1,Female,Yes,26
15524,survey-multi-choice,9,18500,group1,high_entitlement,7,urgency,7,7,7,1,Female,Yes,26
29732,survey-multi-choice,10,18500,group1,low_entitlement,2,interaction,7,3,7,2,Female,Yes,26
13115,survey-multi-choice,11,18500,group1,low_entitlement,8,urgency,7,2,7,1,Female,Yes,26
14015,survey-multi-choice,2,19510,group1,high_entitlement,3,relationship,1,4,1,7,Female,Yes,31
10324,survey-multi-choice,3,19510,group1,low_entitlement,10,institution,1,1,1,7,Female,Yes,31
9561,survey-multi-choice,4,19510,group1,low_entitlement,6,institution,2,1,1,7,Female,Yes,31
13427,survey-multi-choice,5,19510,group1,high_entitlement,9,urgency,4,7,1,7,Female,Yes,31
24492,survey-multi-choice,6,19510,group1,high_entitlement,1,interaction,4,6,1,7,Female,Yes,31
11646,survey-multi-choice,7,19510,group1,low_entitlement,4,relationship,7,4,5,4,Female,Yes,31
11272,survey-multi-choice,8,19510,group1,high_entitlement,7,urgency,4,7,7,6,Female,Yes,31
11952,survey-multi-choice,9,19510,group1,low_entitlement,8,urgency,4,7,4,3,Female,Yes,31
7742,survey-multi-choice,10,19510,group1,high_entitlement,5,institution,1,1,1,7,Female,Yes,31
14598,survey-multi-choice,11,19510,group1,low_entitlement,2,interaction,4,1,7,1,Female,Yes,31
17316,survey-multi-choice,2,19743,group1,high_entitlement,3,relationship,3,4,2,3,Male,Yes,33
5938,survey-multi-choice,3,19743,group1,low_entitlement,6,institution,5,4,3,2,Male,Yes,33
11906,survey-multi-choice,4,19743,group1,high_entitlement,7,urgency,6,4,5,5,Male,Yes,33
6569,survey-multi-choice,5,19743,group1,high_entitlement,1,interaction,4,4,4,3,Male,Yes,33
3737,survey-multi-choice,6,19743,group1,low_entitlement,8,urgency,4,5,3,4,Male,Yes,33
11661,survey-multi-choice,7,19743,group1,low_entitlement,2,interaction,6,3,5,3,Male,Yes,33
54370,survey-multi-choice,8,19743,group1,high_entitlement,9,urgency,4,5,3,6,Male,Yes,33
7780,survey-multi-choice,9,19743,group1,low_entitlement,4,relationship,4,3,4,3,Male,Yes,33
6374,survey-multi-choice,10,19743,group1,high_entitlement,5,institution,4,2,3,5,Male,Yes,33
14046,survey-multi-choice,11,19743,group1,low_entitlement,10,institution,3,1,2,4,Male,Yes,33
17333,survey-multi-choice,2,20500,group2,low_entitlement,3,relationship,5,5,4,5,Male,Yes,25
31107,survey-multi-choice,3,20500,group2,high_entitlement,8,urgency,6,6,4,7,Male,Yes,25
45972,survey-multi-choice,4,20500,group2,high_entitlement,10,institution,5,1,4,7,Male,Yes,25
43295,survey-multi-choice,5,20500,group2,high_entitlement,6,institution,7,2,5,7,Male,Yes,25
9721,survey-multi-choice,6,20500,group2,high_entitlement,2,interaction,6,7,6,7,Male,Yes,25
10317,survey-multi-choice,7,20500,group2,low_entitlement,9,urgency,5,6,3,7,Male,Yes,25
10466,survey-multi-choice,8,20500,group2,high_entitlement,4,relationship,4,7,6,6,Male,Yes,25
23677,survey-multi-choice,9,20500,group2,low_entitlement,1,interaction,6,5,7,5,Male,Yes,25
8702,survey-multi-choice,10,20500,group2,low_entitlement,7,urgency,6,7,5,6,Male,Yes,25
13883,survey-multi-choice,11,20500,group2,low_entitlement,5,institution,5,2,4,6,Male,Yes,25
33384,survey-multi-choice,2,20909,group2,high_entitlement,6,institution,7,1,1,7,Female,Yes,30
29235,survey-multi-choice,3,20909,group2,high_entitlement,8,urgency,7,5,2,7,Female,Yes,30
28587,survey-multi-choice,4,20909,group2,low_entitlement,1,interaction,6,4,6,2,Female,Yes,30
21483,survey-multi-choice,5,20909,group2,low_entitlement,9,urgency,4,6,5,1,Female,Yes,30
19805,survey-multi-choice,6,20909,group2,high_entitlement,4,relationship,5,7,6,6,Female,Yes,30
21836,survey-multi-choice,7,20909,group2,high_entitlement,2,interaction,7,5,7,4,Female,Yes,30
28333,survey-multi-choice,8,20909,group2,low_entitlement,3,relationship,7,1,6,2,Female,Yes,30
24137,survey-multi-choice,9,20909,group2,low_entitlement,7,urgency,4,5,6,3,Female,Yes,30
21482,survey-multi-choice,10,20909,group2,high_entitlement,10,institution,5,1,1,7,Female,Yes,30
19302,survey-multi-choice,11,20909,group2,low_entitlement,5,institution,5,1,1,7,Female,Yes,30
16153,survey-multi-choice,2,21090,group1,high_entitlement,7,urgency,6,7,6,7,Male,Yes,28
10734,survey-multi-choice,3,21090,group1,low_entitlement,10,institution,6,7,6,7,Male,Yes,28
9446,survey-multi-choice,4,21090,group1,low_entitlement,2,interaction,4,6,7,5,Male,Yes,28
12300,survey-multi-choice,5,21090,group1,high_entitlement,1,interaction,6,5,7,5,Male,Yes,28
12161,survey-multi-choice,6,21090,group1,high_entitlement,5,institution,6,7,6,7,Male,Yes,28
10783,survey-multi-choice,7,21090,group1,low_entitlement,8,urgency,6,7,5,6,Male,Yes,28
6399,survey-multi-choice,8,21090,group1,low_entitlement,4,relationship,6,7,6,7,Male,Yes,28
9990,survey-multi-choice,9,21090,group1,high_entitlement,3,relationship,7,6,7,6,Male,Yes,28
6431,survey-multi-choice,10,21090,group1,high_entitlement,9,urgency,5,6,5,7,Male,Yes,28
8258,survey-multi-choice,11,21090,group1,low_entitlement,6,institution,7,6,7,6,Male,Yes,28
45027,survey-multi-choice,2,2218,group1,high_entitlement,5,institution,5,1,5,6,Male,Yes,36
15738,survey-multi-choice,3,2218,group1,low_entitlement,6,institution,5,2,4,7,Male,Yes,36
39422,survey-multi-choice,4,2218,group1,low_entitlement,4,relationship,4,5,6,4,Male,Yes,36
31207,survey-multi-choice,5,2218,group1,high_entitlement,1,interaction,4,6,2,7,Male,Yes,36
32605,survey-multi-choice,6,2218,group1,low_entitlement,8,urgency,4,6,5,5,Male,Yes,36
12957,survey-multi-choice,7,2218,group1,high_entitlement,9,urgency,4,6,3,7,Male,Yes,36
12405,survey-multi-choice,8,2218,group1,high_entitlement,7,urgency,4,5,6,4,Male,Yes,36
15341,survey-multi-choice,9,2218,group1,low_entitlement,10,institution,4,1,2,7,Male,Yes,36
59957,survey-multi-choice,10,2218,group1,low_entitlement,2,interaction,5,6,6,1,Male,Yes,36
19256,survey-multi-choice,11,2218,group1,high_entitlement,3,relationship,5,5,2,7,Male,Yes,36
36901,survey-multi-choice,2,24013,group2,low_entitlement,5,institution,6,2,5,2,Male,Yes,39
28242,survey-multi-choice,3,24013,group2,low_entitlement,9,urgency,5,5,1,4,Male,Yes,39
29009,survey-multi-choice,4,24013,group2,low_entitlement,7,urgency,6,5,6,4,Male,Yes,39
23079,survey-multi-choice,5,24013,group2,high_entitlement,4,relationship,6,6,5,6,Male,Yes,39
27646,survey-multi-choice,6,24013,group2,low_entitlement,3,relationship,7,4,5,4,Male,Yes,39
19606,survey-multi-choice,7,24013,group2,high_entitlement,2,interaction,6,4,6,6,Male,Yes,39
25894,survey-multi-choice,8,24013,group2,high_entitlement,8,urgency,5,6,6,5,Male,Yes,39
17459,survey-multi-choice,9,24013,group2,high_entitlement,6,institution,7,3,5,6,Male,Yes,39
23144,survey-multi-choice,10,24013,group2,high_entitlement,10,institution,7,1,3,6,Male,Yes,39
51606,survey-multi-choice,11,24013,group2,low_entitlement,1,interaction,6,5,7,3,Male,Yes,39
38143,survey-multi-choice,2,25216,group1,high_entitlement,5,institution,7,1,1,7,Female,Yes,37
37629,survey-multi-choice,3,25216,group1,low_entitlement,6,institution,6,1,5,5,Female,Yes,37
40152,survey-multi-choice,4,25216,group1,low_entitlement,2,interaction,7,4,7,1,Female,Yes,37
26868,survey-multi-choice,5,25216,group1,high_entitlement,1,interaction,5,3,4,7,Female,Yes,37
28890,survey-multi-choice,6,25216,group1,high_entitlement,7,urgency,7,6,7,1,Female,Yes,37
18851,survey-multi-choice,7,25216,group1,high_entitlement,9,urgency,7,4,4,2,Female,Yes,37
48968,survey-multi-choice,8,25216,group1,high_entitlement,3,relationship,5,2,3,7,Female,Yes,37
13638,survey-multi-choice,9,25216,group1,low_entitlement,8,urgency,7,2,5,1,Female,Yes,37
29361,survey-multi-choice,10,25216,group1,low_entitlement,10,institution,6,1,2,7,Female,Yes,37
113455,survey-multi-choice,11,25216,group1,low_entitlement,4,relationship,7,1,7,1,Female,Yes,37
22268,survey-multi-choice,2,25386,group2,high_entitlement,2,interaction,5,4,6,6,Female,Yes,29
21232,survey-multi-choice,3,25386,group2,high_entitlement,10,institution,6,2,1,7,Female,Yes,29
14719,survey-multi-choice,4,25386,group2,high_entitlement,6,institution,7,2,2,7,Female,Yes,29
17888,survey-multi-choice,5,25386,group2,high_entitlement,8,urgency,6,6,5,6,Female,Yes,29
16573,survey-multi-choice,6,25386,group2,low_entitlement,5,institution,6,2,3,5,Female,Yes,29
6179,survey-multi-choice,7,25386,group2,high_entitlement,4,relationship,NA,NA,NA,NA,Female,Yes,29
11280,survey-multi-choice,8,25386,group2,low_entitlement,7,urgency,5,7,5,7,Female,Yes,29
17302,survey-multi-choice,9,25386,group2,low_entitlement,1,interaction,5,5,5,4,Female,Yes,29
16032,survey-multi-choice,10,25386,group2,low_entitlement,9,urgency,4,6,3,4,Female,Yes,29
11853,survey-multi-choice,11,25386,group2,low_entitlement,3,relationship,6,4,6,4,Female,Yes,29
25792,survey-multi-choice,2,27448,group1,high_entitlement,9,urgency,4,6,1,1,Male,Yes,30
31730,survey-multi-choice,3,27448,group1,high_entitlement,5,institution,7,1,1,1,Male,Yes,30
12438,survey-multi-choice,4,27448,group1,low_entitlement,8,urgency,4,6,5,4,Male,Yes,30
16186,survey-multi-choice,5,27448,group1,low_entitlement,6,institution,4,2,1,2,Male,Yes,30
161263,survey-multi-choice,6,27448,group1,high_entitlement,3,relationship,6,4,1,1,Male,Yes,30
24740,survey-multi-choice,7,27448,group1,low_entitlement,2,interaction,7,4,5,5,Male,Yes,30
23768,survey-multi-choice,8,27448,group1,high_entitlement,1,interaction,4,7,4,3,Male,Yes,30
15377,survey-multi-choice,9,27448,group1,high_entitlement,7,urgency,7,5,7,3,Male,Yes,30
24816,survey-multi-choice,10,27448,group1,low_entitlement,4,relationship,5,4,6,4,Male,Yes,30
30250,survey-multi-choice,11,27448,group1,low_entitlement,10,institution,3,1,1,1,Male,Yes,30
543159,survey-multi-choice,2,28240,group2,low_entitlement,1,interaction,4,4,4,4,Female,Yes,45
13310,survey-multi-choice,3,28240,group2,low_entitlement,5,institution,6,1,1,6,Female,Yes,45
13918,survey-multi-choice,4,28240,group2,low_entitlement,7,urgency,6,6,4,3,Female,Yes,45
72176,survey-multi-choice,5,28240,group2,high_entitlement,8,urgency,7,6,2,7,Female,Yes,45
17198,survey-multi-choice,6,28240,group2,low_entitlement,3,relationship,7,2,5,4,Female,Yes,45
12774,survey-multi-choice,7,28240,group2,low_entitlement,9,urgency,4,6,4,2,Female,Yes,45
11720,survey-multi-choice,8,28240,group2,high_entitlement,2,interaction,6,6,4,5,Female,Yes,45
14102,survey-multi-choice,9,28240,group2,high_entitlement,10,institution,7,1,1,7,Female,Yes,45
15122,survey-multi-choice,10,28240,group2,high_entitlement,4,relationship,4,7,1,7,Female,Yes,45
12425,survey-multi-choice,11,28240,group2,high_entitlement,6,institution,7,1,1,7,Female,Yes,45
33410,survey-multi-choice,2,29749,group2,high_entitlement,6,institution,4,6,5,4,Male,Yes,25
23810,survey-multi-choice,3,29749,group2,low_entitlement,1,interaction,5,6,4,6,Male,Yes,25
9334,survey-multi-choice,4,29749,group2,low_entitlement,9,urgency,5,6,5,6,Male,Yes,25
44147,survey-multi-choice,5,29749,group2,low_entitlement,3,relationship,5,6,5,6,Male,Yes,25
8901,survey-multi-choice,6,29749,group2,high_entitlement,10,institution,5,6,5,6,Male,Yes,25
3055,survey-multi-choice,7,29749,group2,high_entitlement,8,urgency,NA,NA,NA,NA,Male,Yes,25
11478,survey-multi-choice,8,29749,group2,low_entitlement,7,urgency,5,6,7,4,Male,Yes,25
7452,survey-multi-choice,9,29749,group2,high_entitlement,2,interaction,4,5,6,7,Male,Yes,25
9370,survey-multi-choice,10,29749,group2,high_entitlement,4,relationship,7,6,5,4,Male,Yes,25
10142,survey-multi-choice,11,29749,group2,low_entitlement,5,institution,4,5,6,7,Male,Yes,25
36367,survey-multi-choice,2,29944,group2,low_entitlement,9,urgency,6,5,4,5,Male,Yes,35
24917,survey-multi-choice,3,29944,group2,high_entitlement,4,relationship,6,7,6,5,Male,Yes,35
25957,survey-multi-choice,4,29944,group2,low_entitlement,5,institution,7,1,4,5,Male,Yes,35
67930,survey-multi-choice,5,29944,group2,low_entitlement,3,relationship,7,3,4,2,Male,Yes,35
27246,survey-multi-choice,6,29944,group2,low_entitlement,7,urgency,7,6,7,4,Male,Yes,35
39855,survey-multi-choice,7,29944,group2,high_entitlement,6,institution,7,1,7,1,Male,Yes,35
25541,survey-multi-choice,8,29944,group2,low_entitlement,1,interaction,6,6,6,5,Male,Yes,35
20101,survey-multi-choice,9,29944,group2,high_entitlement,2,interaction,4,6,3,1,Male,Yes,35
23789,survey-multi-choice,10,29944,group2,high_entitlement,10,institution,6,1,2,1,Male,Yes,35
35173,survey-multi-choice,11,29944,group2,high_entitlement,8,urgency,7,6,7,2,Male,Yes,35
21234,survey-multi-choice,2,32026,group1,high_entitlement,7,urgency,6,5,5,4,Male,Yes,30
17150,survey-multi-choice,3,32026,group1,low_entitlement,2,interaction,6,3,6,6,Male,Yes,30
15732,survey-multi-choice,4,32026,group1,low_entitlement,10,institution,3,2,2,2,Male,Yes,30
21348,survey-multi-choice,5,32026,group1,high_entitlement,1,interaction,4,4,2,2,Male,Yes,30
14316,survey-multi-choice,6,32026,group1,high_entitlement,9,urgency,6,6,2,1,Male,Yes,30
17004,survey-multi-choice,7,32026,group1,high_entitlement,3,relationship,3,3,3,2,Male,Yes,30
12358,survey-multi-choice,8,32026,group1,low_entitlement,4,relationship,5,4,6,5,Male,Yes,30
11165,survey-multi-choice,9,32026,group1,low_entitlement,8,urgency,5,5,5,3,Male,Yes,30
18130,survey-multi-choice,10,32026,group1,high_entitlement,5,institution,6,2,1,1,Male,Yes,30
16093,survey-multi-choice,11,32026,group1,low_entitlement,6,institution,2,2,2,1,Male,Yes,30
39071,survey-multi-choice,2,32078,group2,high_entitlement,2,interaction,4,5,3,3,Male,Yes,46
42488,survey-multi-choice,3,32078,group2,low_entitlement,1,interaction,5,5,5,4,Male,Yes,46
39103,survey-multi-choice,4,32078,group2,low_entitlement,9,urgency,4,6,1,2,Male,Yes,46
26503,survey-multi-choice,5,32078,group2,high_entitlement,4,relationship,4,7,2,1,Male,Yes,46
62471,survey-multi-choice,6,32078,group2,high_entitlement,10,institution,5,1,1,5,Male,Yes,46
38542,survey-multi-choice,7,32078,group2,low_entitlement,3,relationship,6,3,3,4,Male,Yes,46
50745,survey-multi-choice,8,32078,group2,high_entitlement,8,urgency,4,5,4,5,Male,Yes,46
23151,survey-multi-choice,9,32078,group2,low_entitlement,7,urgency,5,6,5,5,Male,Yes,46
30238,survey-multi-choice,10,32078,group2,high_entitlement,6,institution,5,2,2,7,Male,Yes,46
24496,survey-multi-choice,11,32078,group2,low_entitlement,5,institution,5,1,2,4,Male,Yes,46
32473,survey-multi-choice,2,33924,group1,high_entitlement,7,urgency,5,6,6,4,Male,Yes,25
29750,survey-multi-choice,3,33924,group1,low_entitlement,8,urgency,4,7,3,5,Male,Yes,25
29764,survey-multi-choice,4,33924,group1,high_entitlement,3,relationship,2,4,5,6,Male,Yes,25
21287,survey-multi-choice,5,33924,group1,high_entitlement,5,institution,4,2,2,7,Male,Yes,25
23582,survey-multi-choice,6,33924,group1,high_entitlement,9,urgency,5,5,3,5,Male,Yes,25
24975,survey-multi-choice,7,33924,group1,low_entitlement,6,institution,4,2,1,6,Male,Yes,25
23062,survey-multi-choice,8,33924,group1,low_entitlement,4,relationship,6,4,6,2,Male,Yes,25
24892,survey-multi-choice,9,33924,group1,low_entitlement,10,institution,3,1,2,7,Male,Yes,25
21527,survey-multi-choice,10,33924,group1,high_entitlement,1,interaction,4,5,3,7,Male,Yes,25
21272,survey-multi-choice,11,33924,group1,low_entitlement,2,interaction,7,7,7,1,Male,Yes,25
21263,survey-multi-choice,2,34342,group1,low_entitlement,4,relationship,6,3,6,2,Male,Yes,31
13562,survey-multi-choice,3,34342,group1,high_entitlement,1,interaction,4,5,2,6,Male,Yes,31
18198,survey-multi-choice,4,34342,group1,low_entitlement,10,institution,4,1,2,7,Male,Yes,31
15776,survey-multi-choice,5,34342,group1,low_entitlement,8,urgency,6,4,5,2,Male,Yes,31
16522,survey-multi-choice,6,34342,group1,high_entitlement,5,institution,6,4,1,7,Male,Yes,31
13082,survey-multi-choice,7,34342,group1,low_entitlement,2,interaction,7,3,7,1,Male,Yes,31
15783,survey-multi-choice,8,34342,group1,high_entitlement,7,urgency,7,5,7,1,Male,Yes,31
18198,survey-multi-choice,9,34342,group1,high_entitlement,9,urgency,6,5,3,5,Male,Yes,31
14282,survey-multi-choice,10,34342,group1,high_entitlement,3,relationship,2,4,5,5,Male,Yes,31
11738,survey-multi-choice,11,34342,group1,low_entitlement,6,institution,4,2,2,6,Male,Yes,31
93246,survey-multi-choice,2,3475,group1,low_entitlement,8,urgency,5,5,4,5,Male,No,36
410268,survey-multi-choice,3,3475,group1,low_entitlement,6,institution,5,2,3,5,Male,No,36
106053,survey-multi-choice,4,3475,group1,high_entitlement,3,relationship,6,4,5,4,Male,No,36
126872,survey-multi-choice,5,3475,group1,low_entitlement,4,relationship,4,5,6,5,Male,No,36
50981,survey-multi-choice,6,3475,group1,high_entitlement,1,interaction,5,6,2,6,Male,No,36
36355,survey-multi-choice,7,3475,group1,high_entitlement,7,urgency,5,6,5,6,Male,No,36
71274,survey-multi-choice,8,3475,group1,high_entitlement,5,institution,4,2,2,7,Male,No,36
111526,survey-multi-choice,9,3475,group1,low_entitlement,2,interaction,6,5,7,2,Male,No,36
46628,survey-multi-choice,10,3475,group1,high_entitlement,9,urgency,4,6,3,7,Male,No,36
84902,survey-multi-choice,11,3475,group1,low_entitlement,10,institution,4,1,1,7,Male,No,36
23418,survey-multi-choice,2,37431,group2,high_entitlement,2,interaction,5,6,2,6,Male,Yes,23
26003,survey-multi-choice,3,37431,group2,low_entitlement,1,interaction,7,4,6,2,Male,Yes,23
20116,survey-multi-choice,4,37431,group2,high_entitlement,4,relationship,5,7,2,6,Male,Yes,23
14962,survey-multi-choice,5,37431,group2,low_entitlement,9,urgency,2,7,1,7,Male,Yes,23
14832,survey-multi-choice,6,37431,group2,low_entitlement,7,urgency,6,5,4,2,Male,Yes,23
21530,survey-multi-choice,7,37431,group2,high_entitlement,8,urgency,7,7,1,5,Male,Yes,23
16180,survey-multi-choice,8,37431,group2,high_entitlement,10,institution,2,1,1,7,Male,Yes,23
18826,survey-multi-choice,9,37431,group2,high_entitlement,6,institution,2,1,1,7,Male,Yes,23
15187,survey-multi-choice,10,37431,group2,low_entitlement,3,relationship,7,3,4,1,Male,Yes,23
15026,survey-multi-choice,11,37431,group2,low_entitlement,5,institution,3,1,1,5,Male,Yes,23
38416,survey-multi-choice,2,37937,group1,high_entitlement,9,urgency,5,7,3,6,Male,Yes,39
30906,survey-multi-choice,3,37937,group1,low_entitlement,6,institution,5,2,2,6,Male,Yes,39
66499,survey-multi-choice,4,37937,group1,high_entitlement,3,relationship,2,5,4,5,Male,Yes,39
20312,survey-multi-choice,5,37937,group1,low_entitlement,2,interaction,6,5,6,1,Male,Yes,39
28526,survey-multi-choice,6,37937,group1,high_entitlement,5,institution,5,2,3,7,Male,Yes,39
19330,survey-multi-choice,7,37937,group1,low_entitlement,10,institution,5,2,3,6,Male,Yes,39
89434,survey-multi-choice,8,37937,group1,low_entitlement,4,relationship,5,4,5,3,Male,Yes,39
11879,survey-multi-choice,9,37937,group1,low_entitlement,8,urgency,5,6,4,2,Male,Yes,39
49921,survey-multi-choice,10,37937,group1,high_entitlement,7,urgency,5,6,5,2,Male,Yes,39
46354,survey-multi-choice,11,37937,group1,high_entitlement,1,interaction,3,5,3,5,Male,Yes,39
15290,survey-multi-choice,2,3826,group1,high_entitlement,7,urgency,4,5,6,5,Male,Yes,28
7270,survey-multi-choice,3,3826,group1,low_entitlement,4,relationship,5,6,NA,6,Male,Yes,28
7830,survey-multi-choice,4,3826,group1,high_entitlement,9,urgency,6,5,6,6,Male,Yes,28
14789,survey-multi-choice,5,3826,group1,low_entitlement,2,interaction,5,6,6,6,Male,Yes,28
7013,survey-multi-choice,6,3826,group1,low_entitlement,8,urgency,5,6,5,6,Male,Yes,28
5980,survey-multi-choice,7,3826,group1,low_entitlement,6,institution,6,5,6,5,Male,Yes,28
8964,survey-multi-choice,8,3826,group1,low_entitlement,10,institution,6,5,6,6,Male,Yes,28
7358,survey-multi-choice,9,3826,group1,high_entitlement,5,institution,6,5,5,6,Male,Yes,28
7120,survey-multi-choice,10,3826,group1,high_entitlement,1,interaction,5,6,5,6,Male,Yes,28
